# file...... Fixed_Electric_hvac_load.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 3600
# limit..... 8808
# property.. timestamp,sum(hvac_load),avg(air_temperature),avg(heating_setpoint),avg(cooling_setpoint)
2006-01-01 00:00:00 CST,+4.53351704545,+72.6798511852,+68.1816262626,+78.2358888889
2006-01-01 01:00:00 CST,+454.445728032,+68.5520074161,+68.1816262626,+78.2358888889
2006-01-01 02:00:00 CST,+668.715561434,+68.2290599896,+68.1816262626,+78.2358888889
2006-01-01 03:00:00 CST,+740.555780388,+68.1783361793,+68.1816262626,+78.2358888889
2006-01-01 04:00:00 CST,+873.508692887,+68.2576692227,+68.1816262626,+78.2358888889
2006-01-01 05:00:00 CST,+717.598918533,+68.2684362879,+68.1816262626,+78.2358888889
2006-01-01 06:00:00 CST,+802.082078194,+68.2309070108,+68.1816262626,+78.2358888889
2006-01-01 07:00:00 CST,+1188.16709599,+69.1413034902,+69.6169292929,+78.2358888889
2006-01-01 08:00:00 CST,+1131.22747159,+69.5843758592,+69.6169292929,+78.2358888889
2006-01-01 09:00:00 CST,+697.851936884,+69.4952481109,+69.6169292929,+78.2358888889
2006-01-01 10:00:00 CST,+720.934271354,+69.6689999492,+69.6169292929,+78.2358888889
2006-01-01 11:00:00 CST,+493.573160337,+69.4698668477,+69.6169292929,+78.2358888889
2006-01-01 12:00:00 CST,+586.135114026,+69.5503419967,+69.6169292929,+78.2358888889
2006-01-01 13:00:00 CST,+521.711822727,+69.4486251184,+69.6169292929,+78.2358888889
2006-01-01 14:00:00 CST,+368.917550579,+69.493864502,+69.6169292929,+78.2358888889
2006-01-01 15:00:00 CST,+558.53204103,+69.4609191411,+69.6169292929,+78.2358888889
2006-01-01 16:00:00 CST,+464.58109632,+69.5898604782,+69.6169292929,+78.2358888889
2006-01-01 17:00:00 CST,+461.863044448,+69.4584839807,+69.6169292929,+78.2358888889
2006-01-01 18:00:00 CST,+597.919182497,+69.6204856462,+69.6169292929,+78.2358888889
2006-01-01 19:00:00 CST,+769.829517382,+69.5578214626,+69.6169292929,+78.2358888889
2006-01-01 20:00:00 CST,+665.316793472,+69.5366850421,+69.6169292929,+78.2358888889
2006-01-01 21:00:00 CST,+478.021025153,+69.5779076344,+69.6169292929,+78.2358888889
2006-01-01 22:00:00 CST,+313.940928588,+68.9262280855,+69.0405353535,+78.2358888889
2006-01-01 23:00:00 CST,+376.290283589,+68.5006533032,+68.5869292929,+78.2358888889
2006-01-02 00:00:00 CST,+284.095710866,+68.1256879456,+68.1816262626,+78.2358888889
2006-01-02 01:00:00 CST,+561.933226793,+68.2654542373,+68.1816262626,+78.2358888889
2006-01-02 02:00:00 CST,+687.577562038,+68.1739602525,+68.1816262626,+78.2358888889
2006-01-02 03:00:00 CST,+861.5190921,+68.1850169824,+68.1816262626,+78.2358888889
