# file...... Fixed_Electric_main_meter.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... meter 6
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,measured_real_power,measured_reactive_power,measured_real_energy,measured_reactive_energy
2006-01-01 00:00:00 CST,+242651.398823,+7586.15779321,+0,+0
2006-01-01 01:00:00 CST,+560336.896109,+45756.4420245,+496272.914673,+38328.1136278
2006-01-01 02:00:00 CST,+772703.54251,+90117.2402149,+1240246.54793,+119502.28968
2006-01-01 03:00:00 CST,+840200.921124,+107142.714029,+2101135.14575,+224892.378927
2006-01-01 04:00:00 CST,+987763.6274,+136151.330689,+3087630.36223,+354904.541977
2006-01-01 05:00:00 CST,+821270.826361,+96289.3873758,+4006945.58246,+473499.105071
2006-01-01 06:00:00 CST,+1181918.21945,+165554.673081,+5099525.76109,+626191.14201
2006-01-01 07:00:00 CST,+1312649.77202,+218622.355172,+6268815.04288,+800302.276476
2006-01-01 08:00:00 CST,+1288183.81596,+208861.554511,+7336054.03608,+953780.710586
2006-01-01 09:00:00 CST,+1032266.72304,+134639.943545,+8361456.56222,+1089197.07516
2006-01-01 10:00:00 CST,+900200.852386,+108846.186428,+9215763.98957,+1189270.1604
2006-01-01 11:00:00 CST,+673091.654404,+69667.4382869,+9987654.41066,+1273195.72121
2006-01-01 12:00:00 CST,+772768.052795,+78331.7657695,+10721265.7792,+1350281.19457
2006-01-01 13:00:00 CST,+703141.732755,+67993.8360017,+11355067.4954,+1408671.08681
2006-01-01 14:00:00 CST,+541881.915155,+46199.8275468,+11975884.3885,+1465608.84031
2006-01-01 15:00:00 CST,+739774.133275,+72280.4122693,+12592812.5117,+1522252.71002
2006-01-01 16:00:00 CST,+659802.243661,+58717.162683,+13236357.9436,+1582330.37113
2006-01-01 17:00:00 CST,+974863.279864,+110089.854303,+14045072.1529,+1671094.57717
2006-01-01 18:00:00 CST,+825020.733154,+89929.8635126,+15149399.2805,+1818372.96299
2006-01-01 19:00:00 CST,+1251834.89355,+178021.48047,+16225952.5448,+1961427.33437
2006-01-01 20:00:00 CST,+871761.477585,+103735.355409,+17142360.3401,+2066754.5376
2006-01-01 21:00:00 CST,+669086.552586,+62033.3269746,+17807516.8247,+2130093.8989
2006-01-01 22:00:00 CST,+477789.40468,+31321.4783569,+18304014.0258,+2168019.79593
2006-01-01 23:00:00 CST,+510788.237006,+40058.3676888,+18798546.9916,+2205708.2201
2006-01-02 00:00:00 CST,+385127.452927,+31087.6029041,+19338338.026,+2251685.6598
2006-01-02 01:00:00 CST,+663036.467789,+71870.2077893,+19982005.9145,+2315191.86351
2006-01-02 02:00:00 CST,+787691.540237,+92123.8241968,+20683997.8981,+2389495.30118
2006-01-02 03:00:00 CST,+962843.44013,+122665.576881,+21436922.3871,+2473928.90573
2006-01-02 04:00:00 CST,+874520.604273,+108585.561644,+22353841.8229,+2587228.08554
2006-01-02 05:00:00 CST,+707281.516066,+90281.0901185,+23197366.3711,+2689385.7661
2006-01-02 06:00:00 CST,+1190133.61479,+171222.169941,+24225046.7578,+2824644.37321
2006-01-02 07:00:00 CST,+1134824.52921,+168508.282802,+25330629.0797,+2980661.50325
2006-01-02 08:00:00 CST,+853994.510797,+109240.214858,+26303685.5617,+3108209.52827
2006-01-02 09:00:00 CST,+722197.202575,+72660.7750799,+27136544.4051,+3200400.00966
2006-01-02 10:00:00 CST,+546646.600016,+40672.268632,+27718607.1675,+3251240.71833
2006-01-02 11:00:00 CST,+491858.618694,+35148.3399815,+28268147.9498,+3298140.77943
2006-01-02 12:00:00 CST,+670605.367722,+68824.1224426,+28840784.5902,+3348718.90353
2006-01-02 13:00:00 CST,+584362.46179,+55652.8547563,+29389688.377,+3395415.21261
2006-01-02 14:00:00 CST,+560140.200941,+50930.7247939,+29993163.6309,+3450731.32329
2006-01-02 15:00:00 CST,+506310.73134,+39544.4098385,+30606681.4594,+3508082.05299
2006-01-02 16:00:00 CST,+731650.51758,+68368.6412494,+31276426.129,+3573963.38597
