# file...... Fixed_Electric_triplex_meter.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# group..... class=triplex_meter AND groupid=tiered_meter
# trigger... (none)
# interval.. 3600
# limit..... 8808
# property.. timestamp,sum(monthly_energy)
2006-01-01 00:00:00 CST,+0
2006-01-01 01:00:00 CST,+489.253243887
2006-01-01 02:00:00 CST,+1219.68754425
2006-01-01 03:00:00 CST,+2063.26014457
2006-01-01 04:00:00 CST,+3027.5424091
2006-01-01 05:00:00 CST,+3927.43036255
2006-01-01 06:00:00 CST,+4993.25932091
2006-01-01 07:00:00 CST,+6132.10246577
2006-01-01 08:00:00 CST,+7173.68266782
2006-01-01 09:00:00 CST,+8175.05246646
2006-01-01 10:00:00 CST,+9012.18735024
2006-01-01 11:00:00 CST,+9769.69736032
2006-01-01 12:00:00 CST,+10489.8737082
2006-01-01 13:00:00 CST,+11113.2663367
2006-01-01 14:00:00 CST,+11723.8464555
2006-01-01 15:00:00 CST,+12330.744102
2006-01-01 16:00:00 CST,+12963.6198931
2006-01-01 17:00:00 CST,+13756.4130019
2006-01-01 18:00:00 CST,+14832.6839193
2006-01-01 19:00:00 CST,+15882.8036764
2006-01-01 20:00:00 CST,+16779.5228638
2006-01-01 21:00:00 CST,+17433.231276
2006-01-01 22:00:00 CST,+17922.3685738
2006-01-01 23:00:00 CST,+18409.6922974
2006-01-02 00:00:00 CST,+18941.416271
2006-01-02 01:00:00 CST,+19574.4870125
2006-01-02 02:00:00 CST,+20264.2290121
2006-01-02 03:00:00 CST,+21003.3671046
2006-01-02 04:00:00 CST,+21900.7928928
2006-01-02 05:00:00 CST,+22727.5527037
2006-01-02 06:00:00 CST,+23731.3674919
2006-01-02 07:00:00 CST,+24809.4448353
2006-01-02 08:00:00 CST,+25760.7993112
2006-01-02 09:00:00 CST,+26576.9690085
2006-01-02 10:00:00 CST,+27149.8903875
2006-01-02 11:00:00 CST,+27691.0668285
2006-01-02 12:00:00 CST,+28254.8119038
2006-01-02 13:00:00 CST,+28795.395348
2006-01-02 14:00:00 CST,+29389.2946859
2006-01-02 15:00:00 CST,+29992.9925655
2006-01-02 16:00:00 CST,+30651.460221
2006-01-02 17:00:00 CST,+31512.0540967
2006-01-02 18:00:00 CST,+32685.8661703
2006-01-02 19:00:00 CST,+33888.5774492
2006-01-02 20:00:00 CST,+35063.4810532
2006-01-02 21:00:00 CST,+36121.9765186
2006-01-02 22:00:00 CST,+37137.9323931
2006-01-02 23:00:00 CST,+38103.1767752
2006-01-03 00:00:00 CST,+39074.7659919
2006-01-03 01:00:00 CST,+40105.8619505
2006-01-03 02:00:00 CST,+41089.6452903
2006-01-03 03:00:00 CST,+42030.9350958
2006-01-03 04:00:00 CST,+43017.6400928
2006-01-03 05:00:00 CST,+43896.4424102
2006-01-03 06:00:00 CST,+44923.8952138
2006-01-03 07:00:00 CST,+45976.9031233
2006-01-03 08:00:00 CST,+46951.5262885
2006-01-03 09:00:00 CST,+47876.2403226
2006-01-03 10:00:00 CST,+48576.5157471
2006-01-03 11:00:00 CST,+49160.8339452
2006-01-03 12:00:00 CST,+49741.951851
2006-01-03 13:00:00 CST,+50254.0866164
2006-01-03 14:00:00 CST,+50843.7802611
2006-01-03 15:00:00 CST,+51519.3144069
2006-01-03 16:00:00 CST,+52333.777044
2006-01-03 17:00:00 CST,+53267.9349773
2006-01-03 18:00:00 CST,+54450.1787948
2006-01-03 19:00:00 CST,+55573.9095996
2006-01-03 20:00:00 CST,+56707.3206654
2006-01-03 21:00:00 CST,+57760.5523929
2006-01-03 22:00:00 CST,+58805.0293427
2006-01-03 23:00:00 CST,+59832.8986393
2006-01-04 00:00:00 CST,+60914.0219621
2006-01-04 01:00:00 CST,+62069.1544935
2006-01-04 02:00:00 CST,+63272.8535982
2006-01-04 03:00:00 CST,+64502.1226829
2006-01-04 04:00:00 CST,+65859.5857084
2006-01-04 05:00:00 CST,+67133.116935
2006-01-04 06:00:00 CST,+68578.3359239
2006-01-04 07:00:00 CST,+70060.2469214
2006-01-04 08:00:00 CST,+71433.5157315
2006-01-04 09:00:00 CST,+72704.1178959
2006-01-04 10:00:00 CST,+73785.1877761
2006-01-04 11:00:00 CST,+74777.7974517
2006-01-04 12:00:00 CST,+75692.4009723
2006-01-04 13:00:00 CST,+76587.556787
2006-01-04 14:00:00 CST,+77460.5138395
2006-01-04 15:00:00 CST,+78348.0292703
2006-01-04 16:00:00 CST,+79274.8143377
2006-01-04 17:00:00 CST,+80392.4620017
2006-01-04 18:00:00 CST,+81800.1931757
2006-01-04 19:00:00 CST,+83200.0574702
2006-01-04 20:00:00 CST,+84558.8657313
2006-01-04 21:00:00 CST,+85778.174851
2006-01-04 22:00:00 CST,+86934.9156076
2006-01-04 23:00:00 CST,+88047.7268482
2006-01-05 00:00:00 CST,+89160.8787242
2006-01-05 01:00:00 CST,+90322.5364595
2006-01-05 02:00:00 CST,+91456.7058589
2006-01-05 03:00:00 CST,+92566.8746781
2006-01-05 04:00:00 CST,+93744.8684018
2006-01-05 05:00:00 CST,+94831.8759765
2006-01-05 06:00:00 CST,+96078.8064008
2006-01-05 07:00:00 CST,+97356.9524737
2006-01-05 08:00:00 CST,+98583.3196097
2006-01-05 09:00:00 CST,+99787.802317
2006-01-05 10:00:00 CST,+100857.448348
2006-01-05 11:00:00 CST,+101830.881542
2006-01-05 12:00:00 CST,+102766.440204
2006-01-05 13:00:00 CST,+103676.014961
2006-01-05 14:00:00 CST,+104604.357579
