# file...... Fixed_Electric_wh_load.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# group..... class=waterheater
# trigger... (none)
# interval.. 3600
# limit..... 8808
# property.. timestamp,sum(actual_load)
2006-01-01 00:00:00 CST,+134.1186743
2006-01-01 01:00:00 CST,+0
2006-01-01 02:00:00 CST,+0
2006-01-01 03:00:00 CST,+0
2006-01-01 04:00:00 CST,+13.6191290017
2006-01-01 05:00:00 CST,+0
2006-01-01 06:00:00 CST,+265.370119813
2006-01-01 07:00:00 CST,+0
2006-01-01 08:00:00 CST,+4.47645276773
2006-01-01 09:00:00 CST,+162.646531655
2006-01-01 10:00:00 CST,+0
2006-01-01 11:00:00 CST,+0
2006-01-01 12:00:00 CST,+0
2006-01-01 13:00:00 CST,+0
2006-01-01 14:00:00 CST,+0
2006-01-01 15:00:00 CST,+0
2006-01-01 16:00:00 CST,+0
2006-01-01 17:00:00 CST,+448.574539308
2006-01-01 18:00:00 CST,+0
2006-01-01 19:00:00 CST,+264.800800066
2006-01-01 20:00:00 CST,+0
2006-01-01 21:00:00 CST,+0
2006-01-01 22:00:00 CST,+0
2006-01-01 23:00:00 CST,+0
2006-01-02 00:00:00 CST,+0
2006-01-02 01:00:00 CST,+0
2006-01-02 02:00:00 CST,+0
2006-01-02 03:00:00 CST,+0
2006-01-02 04:00:00 CST,+22.6814361289
2006-01-02 05:00:00 CST,+0
2006-01-02 06:00:00 CST,+265.12618508
2006-01-02 07:00:00 CST,+0
2006-01-02 08:00:00 CST,+0
2006-01-02 09:00:00 CST,+164.220122825
2006-01-02 10:00:00 CST,+0
2006-01-02 11:00:00 CST,+0
2006-01-02 12:00:00 CST,+0
2006-01-02 13:00:00 CST,+0
2006-01-02 14:00:00 CST,+0
2006-01-02 15:00:00 CST,+0
2006-01-02 16:00:00 CST,+0
2006-01-02 17:00:00 CST,+445.77321806
2006-01-02 18:00:00 CST,+0
2006-01-02 19:00:00 CST,+264.128996375
2006-01-02 20:00:00 CST,+0
2006-01-02 21:00:00 CST,+0
2006-01-02 22:00:00 CST,+0
2006-01-02 23:00:00 CST,+0
2006-01-03 00:00:00 CST,+0
2006-01-03 01:00:00 CST,+0
2006-01-03 02:00:00 CST,+0
2006-01-03 03:00:00 CST,+0
2006-01-03 04:00:00 CST,+27.1630421236
2006-01-03 05:00:00 CST,+0
2006-01-03 06:00:00 CST,+263.609821629
2006-01-03 07:00:00 CST,+0
2006-01-03 08:00:00 CST,+4.53690442865
2006-01-03 09:00:00 CST,+163.571813483
2006-01-03 10:00:00 CST,+0
2006-01-03 11:00:00 CST,+0
2006-01-03 12:00:00 CST,+0
2006-01-03 13:00:00 CST,+0
2006-01-03 14:00:00 CST,+0
2006-01-03 15:00:00 CST,+0
2006-01-03 16:00:00 CST,+0
2006-01-03 17:00:00 CST,+442.70030256
2006-01-03 18:00:00 CST,+0
2006-01-03 19:00:00 CST,+264.117203171
2006-01-03 20:00:00 CST,+0
2006-01-03 21:00:00 CST,+0
2006-01-03 22:00:00 CST,+0
2006-01-03 23:00:00 CST,+0
2006-01-04 00:00:00 CST,+0
2006-01-04 01:00:00 CST,+0
2006-01-04 02:00:00 CST,+0
2006-01-04 03:00:00 CST,+0
2006-01-04 04:00:00 CST,+40.2328502788
2006-01-04 05:00:00 CST,+0
2006-01-04 06:00:00 CST,+261.213780641
2006-01-04 07:00:00 CST,+0
2006-01-04 08:00:00 CST,+4.49833839379
2006-01-04 09:00:00 CST,+160.799724753
2006-01-04 10:00:00 CST,+0
2006-01-04 11:00:00 CST,+0
2006-01-04 12:00:00 CST,+0
2006-01-04 13:00:00 CST,+0
2006-01-04 14:00:00 CST,+0
2006-01-04 15:00:00 CST,+0
2006-01-04 16:00:00 CST,+0
2006-01-04 17:00:00 CST,+443.003124685
2006-01-04 18:00:00 CST,+0
2006-01-04 19:00:00 CST,+261.271060229
2006-01-04 20:00:00 CST,+0
2006-01-04 21:00:00 CST,+0
2006-01-04 22:00:00 CST,+0
2006-01-04 23:00:00 CST,+0
